,Longitude,Latitude,Datetime,Fire
156,-122.44,38.7,2020-08-23,1
157,-119.175,37.38,2020-09-16,1
158,-122.842,40.028,2020-09-08,1
159,-123.594,41.952,2020-09-09,1
160,-122.991,39.85,2020-09-10,1
161,-119.365,37.391,2020-09-06,1
162,-123.313,41.165,2020-09-15,1
163,-118.521,36.2,2020-09-03,1
164,-119.21,37.415,2020-09-12,1
165,-119.555,38.55,2020-08-30,1
166,-116.901,34.14,2020-09-18,1
167,-116.784,34.019,2020-08-05,1
168,-119.429,37.217,2020-09-07,1
169,-121.339,37.298,2020-08-18,1
170,-120.971,39.777,2020-09-14,1
171,-117.978,34.201,2020-09-11,1
172,-118.558,36.203,2020-09-12,1
173,-122.995,39.544,2020-09-10,1
174,-123.012,40.16,2020-09-08,1
175,-123.211,41.905,2020-09-10,1
176,-119.329,37.482,2020-09-14,1
177,-121.651,36.536,2020-08-17,1
178,-121.323,39.617,2020-09-09,1
179,-119.353,37.447,2020-09-09,1
180,-122.94,39.958,2020-09-10,1
181,-121.696,37.482,2020-08-20,1
182,-122.876,40.01,2020-09-06,1
183,-119.381,37.067,2020-09-08,1
184,-122.97,39.742,2020-09-09,1
185,-121.227,39.761,2020-09-09,1
186,-122.157,38.37,2020-08-20,1
187,-122.899,40.149,2020-09-08,1
188,-122.877,39.768,2020-09-08,1
189,-123.225,40.067,2020-09-09,1
190,-122.874,40.015,2020-09-08,1
191,-121.229,39.788,2020-09-10,1
192,-121.19,39.757,2020-09-10,1
193,-119.166,37.385,2020-09-16,1
194,-116.803,34.049,2020-08-02,1
195,-122.974,39.654,2020-09-07,1
196,-119.253,37.377,2020-09-06,1
197,-123.471,41.78,2020-09-09,1
198,-117.602,36.046,2020-08-21,1
199,-122.388,38.65,2020-08-20,1
200,-122.827,39.845,2020-08-30,1
201,-122.981,39.527,2020-09-10,1
202,-123.197,40.176,2020-09-08,1
203,-123.429,40.148,2020-09-12,1
204,-119.349,37.418,2020-09-07,1
205,-122.098,38.629,2020-08-21,1
206,-122.902,39.857,2020-09-05,1
207,-119.293,37.011,2020-09-10,1
208,-120.491,34.769,2020-09-16,1
209,-121.25,39.701,2020-09-09,1
