,YEAR,MO,DY,ALLSKY_SFC_LW_DWN,PRECTOT,PS,QV2M,RH2M,SRF_ALB,T10M,T10M_MAX,T10M_MIN,T10M_RANGE,TQV,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE
14351,2013,5,13,29.23,15.12,345.27,4.12,94.3,22.19,5.37,1.96,2.88,0.58,11.76,4.5,5.85,28.44,23.66,6.44,35.42,0.39,0.0,0.2
14352,2013,4,28,21.6,11.88,6.96,310.41,13.52,1.73,18.87,2.41,4.63,25.41,11.84,53.12,3.84,96.78,0.22,0.3,4.94,3.62,0.0,0.2
14353,2013,10,5,18.04,12.55,1.95,284.79,13.18,4.45,18.47,6.79,7.51,25.72,3.16,15.62,7.81,93.13,1.65,3.6,11.11,6.16,0.0,0.17
14354,2013,6,10,374.64,18.86,27.34,3.77,9.59,2.59,15.21,5.13,1.36,2.04,61.06,24.81,8.61,2.93,96.28,0.88,20.44,3.47,0.12,1.03
14355,2013,4,14,4.51,15.14,3.66,267.76,-3.69,1.71,3.33,3.47,7.08,11.45,7.77,67.94,3.71,83.0,0.01,0.23,7.3,3.7,0.01,0.12
14356,2013,5,10,3.26,49.0,22.52,93.02,1.01,4.27,20.3,3.62,4.73,1.2,2.45,5.94,18.23,323.39,6.71,17.66,29.48,11.25,0.16,0.04
14357,2013,10,3,17.59,13.18,6.47,287.73,11.07,1.81,16.14,2.62,5.12,24.25,10.76,59.19,3.9,93.98,0.02,0.15,5.27,3.88,0.0,0.24
14358,2013,7,26,23.4,11.66,8.12,326.88,16.85,1.16,22.73,2.36,3.85,28.51,18.03,42.56,2.38,81.48,0.38,0.66,4.51,2.0,0.72,0.1
14359,2013,12,6,-1.85,5.16,2.2,269.52,-3.21,1.48,-1.1,3.62,2.6,1.94,7.2,62.38,2.05,93.26,0.8,2.45,5.04,1.25,7.88,0.12
14360,2013,5,1,17.71,4.83,274.61,3.7,91.56,21.44,2.87,1.9,4.8,0.23,16.27,3.76,8.8,17.73,9.93,9.02,26.19,0.05,0.0,0.12
14361,2013,8,19,374.14,27.42,28.53,6.15,10.56,2.27,22.58,6.7,0.55,1.1,36.62,33.14,9.03,3.38,89.88,0.12,27.88,2.39,0.14,1.17
14362,2013,1,31,8.61,0.76,20.55,3.97,1.48,8.49,93.76,2.23,1.26,1.45,1.9,257.86,48.06,13.67,8.98,3.16,2.41,11.95,0.17,0.0
14363,2013,2,23,10.41,13.29,3.54,257.59,6.96,2.63,12.04,4.09,6.22,20.25,6.9,42.88,5.23,95.26,1.04,1.58,7.8,4.19,0.0,0.18
14364,2013,5,15,21.53,15.79,4.27,312.87,10.9,3.23,19.29,4.8,5.13,26.69,9.44,30.69,5.42,91.29,1.07,2.36,7.48,4.34,0.0,0.16
14365,2013,11,10,14.6,13.81,2.32,278.01,11.08,1.33,17.61,2.18,4.16,24.9,9.16,19.81,3.24,92.86,0.23,0.41,4.57,3.01,0.0,0.18
14366,2013,10,20,14.0,10.12,2.26,263.31,14.41,0.98,18.51,2.44,1.88,24.54,5.09,19.38,1.33,89.95,0.41,1.34,3.22,0.91,0.0,0.14
14367,2013,4,30,9.95,12.3,4.21,234.49,4.71,0.05,10.09,3.45,3.16,17.01,5.39,50.94,0.12,86.27,0.05,2.25,5.41,0.08,0.0,0.12
14368,2013,3,23,5.63,5.76,1.11,12.11,4.49,11.82,19.84,92.76,15.2,40.62,4.64,6.54,7.99,3.17,2.97,9.1,264.1,0.91,0.16,0.0
14369,2013,8,19,24.15,23.39,368.68,1.1,82.52,32.88,7.14,0.9,1.45,0.77,9.52,1.55,1.79,24.47,19.3,2.55,28.82,0.45,0.14,0.11
14370,2013,8,13,54.94,94.41,305.41,0.8,0.41,11.26,6.65,0.05,0.74,1.72,13.09,14.82,16.29,0.41,3.25,24.35,17.61,2.84,0.1,0.0
14371,2013,6,8,5.12,32.44,26.76,92.04,0.08,5.2,23.83,3.15,7.05,0.13,2.25,7.19,19.59,331.14,5.68,13.48,34.69,15.11,0.16,0.0
14372,2013,5,2,4.73,25.06,21.3,97.38,1.17,5.91,22.51,3.95,6.53,1.88,2.45,8.41,16.02,287.98,3.48,4.21,30.44,14.41,0.14,0.0
