FIRE_YEAR,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE,STATE,DISCOVERY_DATE,FIRE_SIZE,DATE
2010,Miscellaneous,36.50111111,-120.38888888,CA,2455382.5,1.0,2010-07-05
2010,Miscellaneous,36.725,-119.57,CA,2455383.5,1.0,2010-07-06
2010,Miscellaneous,36.69194444,-119.565,CA,2455383.5,1.0,2010-07-06
2010,Miscellaneous,36.59,-119.46888888,CA,2455383.5,0.1,2010-07-06
2010,Debris Burning,36.66305555,-119.8,CA,2455383.5,1.0,2010-07-06
2010,Miscellaneous,36.725,-119.51111111,CA,2455384.5,1.0,2010-07-07
2010,Smoking,36.42111111,-119.79805555,CA,2455384.5,1.0,2010-07-07
2010,Miscellaneous,36.21,-120.08611111,CA,2455385.5,3.0,2010-07-08
2010,Miscellaneous,36.92305555,-119.73305555,CA,2455385.5,1.0,2010-07-08
2010,Equipment Use,36.83694444,-119.55611111,CA,2455385.5,3.0,2010-07-08
2010,Miscellaneous,36.95388888,-120.62805555,CA,2455386.5,1.0,2010-07-09
2010,Miscellaneous,36.66888888,-119.44194444,CA,2455394.5,0.3,2010-07-17
2010,Debris Burning,36.63305555,-119.40388888,CA,2455395.5,1.0,2010-07-18
2010,Miscellaneous,36.73111111,-119.47111111,CA,2455396.5,1.0,2010-07-19
2010,Miscellaneous,36.67805555,-119.735,CA,2455396.5,1.0,2010-07-19
2010,Miscellaneous,36.73111111,-119.47111111,CA,2455396.5,1.0,2010-07-19
2010,Miscellaneous,36.255,-120.10388888,CA,2455398.5,1.0,2010-07-21
2010,Debris Burning,36.765,-120.38694444,CA,2455400.5,1.0,2010-07-23
2010,Arson,36.72194444,-119.55611111,CA,2455400.5,1.0,2010-07-23
2010,Miscellaneous,36.54694444,-119.78611111,CA,2455401.5,0.3,2010-07-24
2010,Miscellaneous,36.68305555,-119.38388888,CA,2455401.5,1.0,2010-07-24
2010,Miscellaneous,36.59,-119.46694444,CA,2455402.5,0.3,2010-07-25
2010,Arson,36.71888888,-119.72694444,CA,2455402.5,1.0,2010-07-25
2010,Miscellaneous,36.18,-120.37305555,CA,2455414.5,0.5,2010-08-06
2010,Miscellaneous,36.10111111,-120.26305555,CA,2455417.5,0.1,2010-08-09
2010,Miscellaneous,36.67805555,-119.565,CA,2455417.5,3.0,2010-08-09
2010,Equipment Use,36.83194444,-119.60194444,CA,2455418.5,1.0,2010-08-10
2010,Miscellaneous,36.66194444,-119.43,CA,2455420.5,1.0,2010-08-12
2010,Debris Burning,36.675,-119.40305555,CA,2455420.5,1.0,2010-08-12
2010,Miscellaneous,36.63388888,-119.78611111,CA,2455420.5,1.0,2010-08-12
2010,Miscellaneous,36.73694444,-119.66111111,CA,2455422.5,0.1,2010-08-14
2010,Miscellaneous,36.74888888,-120.38694444,CA,2455423.5,1.0,2010-08-15
2010,Miscellaneous,36.765,-120.38388888,CA,2455423.5,1.0,2010-08-15
2010,Debris Burning,36.77888888,-119.58305555,CA,2455425.5,1.0,2010-08-17
2010,Miscellaneous,36.60305555,-120.38888888,CA,2455430.5,1.0,2010-08-22
2010,Smoking,36.77805555,-120.56694444,CA,2455431.5,1.0,2010-08-23
2010,Miscellaneous,36.605,-119.76388888,CA,2455435.5,1.0,2010-08-27
2010,Miscellaneous,36.73388888,-120.24194444,CA,2455435.5,1.0,2010-08-27
2010,Miscellaneous,36.53194444,-119.55694444,CA,2455435.5,1.0,2010-08-27
