,YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
9590,2012,7,11,30.96,0.9,15.94,32.52,19.3,40.78,21.48
9591,2012,7,14,27.57,2.71,15.14,29.48,18.32,37.83,19.51
9592,2012,7,16,16.01,9.88,12.94,18.55,11.99,23.5,11.51
9593,2012,7,28,19.76,8.83,14.3,19.96,14.63,27.86,13.23
9594,2012,8,4,28.37,6.83,17.6,30.09,16.92,37.82,20.9
9595,2012,8,4,22.45,0.94,11.69,23.94,14.26,29.79,15.53
9596,2012,8,13,30.58,8.99,19.78,31.2,15.33,38.03,22.7
9597,2012,8,10,32.83,4.95,18.89,34.37,17.92,42.33,24.4
9598,2012,8,7,30.63,4.78,17.71,32.16,20.16,41.14,20.98
9599,2012,8,16,21.73,6.46,14.09,22.64,15.65,30.13,14.48
9600,2012,1,13,1.23,-17.72,-8.25,-2.46,11.98,8.19,-3.79
9601,2012,3,13,10.6,2.58,6.58,10.74,14.86,18.98,4.12
9602,2012,3,5,16.64,-3.84,6.4,13.96,15.16,25.91,10.76
9603,2012,4,9,14.98,-5.28,4.85,14.57,20.47,26.9,6.43
9604,2012,4,8,19.37,-2.92,8.23,18.35,22.09,32.42,10.33
9605,2012,5,16,23.18,7.26,15.22,24.66,22.94,35.53,12.59
9606,2012,5,20,24.06,5.36,14.71,26.13,23.43,36.37,12.94
9607,2012,5,29,21.08,5.24,13.16,23.32,19.19,31.05,11.87
9608,2012,5,23,17.01,3.46,10.23,18.56,16.97,25.95,8.98
9609,2012,5,26,8.83,2.02,5.43,10.12,12.03,15.75,3.72
9610,2012,6,7,19.83,-0.2,9.82,19.46,18.0,28.3,10.3
9611,2012,6,7,18.8,1.3,10.05,20.87,22.23,30.0,7.76
9612,2012,6,8,23.2,4.88,14.04,25.4,18.6,32.94,14.33
9613,2012,6,4,19.12,8.14,13.63,21.58,15.84,27.98,12.14
9614,2012,6,11,25.49,-7.24,9.12,25.91,21.58,35.88,14.3
9615,2012,6,13,23.45,5.42,14.44,25.9,20.52,33.53,13.01
9616,2012,6,25,21.78,2.51,12.14,24.48,18.79,31.08,12.3
9617,2012,6,19,22.83,-3.62,9.61,24.48,16.42,31.5,15.08
9618,2012,6,21,24.71,-0.76,11.98,26.2,19.56,34.26,14.71
9619,2012,6,18,14.3,9.67,11.98,15.23,8.58,19.18,10.6
9620,2012,7,3,16.51,10.43,13.47,17.35,13.32,24.05,10.73
9621,2012,7,12,16.8,10.36,13.58,17.77,11.39,22.87,11.48
9622,2012,7,23,15.24,11.46,13.35,16.18,7.82,19.52,11.7
9623,2012,8,7,16.83,10.55,13.69,17.51,10.91,22.7,11.79
9624,2012,8,27,17.48,11.9,14.69,17.69,15.43,25.89,10.47
9625,2012,1,12,4.46,-2.18,1.14,2.86,14.17,13.56,-0.61
9626,2012,2,23,4.83,1.0,2.91,4.83,12.8,12.2,-0.6
9627,2012,2,24,6.45,2.5,4.48,6.31,13.71,14.54,0.83
9628,2012,4,23,14.98,11.83,13.4,14.33,11.19,21.25,10.06
9629,2012,4,24,12.87,10.72,11.8,12.82,7.05,16.8,9.75
9630,2012,4,30,9.44,7.7,8.57,9.3,7.23,13.42,6.19
9631,2012,5,1,7.12,3.38,5.25,7.25,9.37,11.89,2.52
9632,2012,5,1,7.12,3.38,5.25,7.25,9.37,11.89,2.52
9633,2012,5,1,7.12,3.38,5.25,7.25,9.37,11.89,2.52
9634,2012,5,7,13.82,7.84,10.83,12.94,17.51,22.66,5.15
9635,2012,5,14,12.76,9.19,10.97,11.96,9.98,18.85,8.87
9636,2012,5,21,11.65,9.93,10.79,11.57,5.52,14.79,9.27
9637,2012,5,28,9.8,7.28,8.54,9.77,7.63,14.19,6.56
9638,2012,5,28,9.8,7.28,8.54,9.77,7.63,14.19,6.56
9639,2012,5,31,16.39,12.59,14.49,15.9,15.12,23.68,8.56
9640,2012,6,1,16.43,13.18,14.8,15.95,12.14,23.4,11.27
9641,2012,6,3,11.98,9.73,10.85,11.95,6.1,14.95,8.85
9642,2012,6,10,12.94,6.86,9.9,12.77,16.94,21.48,4.53
9643,2012,6,11,14.29,9.3,11.8,14.08,14.88,21.51,6.64
9644,2012,6,21,14.14,8.33,11.24,13.75,13.09,21.97,8.88
9645,2012,6,21,14.14,8.33,11.24,13.75,13.09,21.97,8.88
9646,2012,7,1,16.72,11.9,14.31,16.45,12.63,23.5,10.87
9647,2012,7,1,16.72,11.9,14.31,16.45,12.63,23.5,10.87
9648,2012,7,2,14.67,9.63,12.15,14.3,12.27,21.17,8.9
9649,2012,7,4,14.64,6.44,10.54,14.07,14.89,22.39,7.5
9650,2012,7,4,14.64,6.44,10.54,14.07,14.89,22.39,7.5
9651,2012,7,4,14.64,6.44,10.54,14.07,14.89,22.39,7.5
9652,2012,7,4,14.64,6.44,10.54,14.07,14.89,22.39,7.5
9653,2012,7,4,14.64,6.44,10.54,14.07,14.89,22.39,7.5
9654,2012,7,5,15.56,8.31,11.94,15.24,14.53,24.09,9.55
9655,2012,7,5,15.56,8.31,11.94,15.24,14.53,24.09,9.55
9656,2012,7,5,15.56,8.31,11.94,15.24,14.53,24.09,9.55
9657,2012,7,8,18.82,9.15,13.98,17.43,15.32,27.53,12.21
9658,2012,7,8,18.82,9.15,13.98,17.43,15.32,27.53,12.21
9659,2012,7,8,18.82,9.15,13.98,17.43,15.32,27.53,12.21
9660,2012,7,8,18.82,9.15,13.98,17.43,15.32,27.53,12.21
9661,2012,7,8,18.82,9.15,13.98,17.43,15.32,27.53,12.21
9662,2012,7,9,18.37,8.51,13.44,17.35,15.39,27.15,11.76
9663,2012,7,9,18.37,8.51,13.44,17.35,15.39,27.15,11.76
9664,2012,7,9,18.37,8.51,13.44,17.35,15.39,27.15,11.76
9665,2012,7,9,18.37,8.51,13.44,17.35,15.39,27.15,11.76
9666,2012,7,13,19.3,10.47,14.88,18.91,18.2,28.81,10.61
9667,2012,7,13,19.3,10.47,14.88,18.91,18.2,28.81,10.61
9668,2012,7,14,20.12,9.29,14.7,19.23,15.1,28.1,13.0
9669,2012,7,18,16.18,9.85,13.01,15.69,13.68,23.72,10.03
9670,2012,7,18,16.18,9.85,13.01,15.69,13.68,23.72,10.03
9671,2012,7,19,17.15,9.01,13.08,16.52,13.77,25.13,11.36
9672,2012,7,24,20.02,7.8,13.91,18.8,15.74,29.33,13.58
9673,2012,7,26,18.61,9.26,13.94,17.62,13.76,25.9,12.14
9674,2012,7,28,15.84,9.53,12.69,15.44,11.52,22.36,10.83
9675,2012,7,29,16.44,10.17,13.3,16.15,14.36,24.26,9.9
9676,2012,7,30,17.48,8.37,12.92,16.8,16.42,26.51,10.08
9677,2012,7,30,17.48,8.37,12.92,16.8,16.42,26.51,10.08
9678,2012,7,31,17.95,7.89,12.92,16.65,15.34,26.61,11.26
9679,2012,8,1,19.03,7.46,13.25,17.48,15.27,27.61,12.34
9680,2012,8,2,19.98,6.36,13.17,18.46,17.21,28.92,11.71
9681,2012,8,3,22.58,6.27,14.43,20.73,17.65,32.83,15.19
9682,2012,8,4,21.37,8.27,14.83,20.17,14.49,30.09,15.6
9683,2012,8,8,18.0,6.06,12.03,17.33,16.65,26.64,9.99
9684,2012,8,8,18.0,6.06,12.03,17.33,16.65,26.64,9.99
9685,2012,8,10,20.26,6.4,13.33,19.47,20.06,30.23,10.16
9686,2012,8,11,25.12,3.95,14.54,23.74,22.7,36.73,14.03
9687,2012,8,12,24.93,3.83,14.37,22.48,18.03,35.23,17.19
9688,2012,8,13,26.12,5.75,15.94,23.68,17.85,35.37,17.52
9689,2012,8,7,17.42,7.44,12.44,16.64,14.62,25.94,11.33
9690,2012,8,27,16.09,8.33,12.21,14.68,14.55,24.23,9.67
9691,2012,9,1,16.22,6.27,11.25,15.32,15.48,25.72,10.24
9692,2012,9,5,21.82,0.08,10.94,18.83,16.35,31.12,14.78
9693,2012,9,7,18.87,1.86,10.36,16.69,18.12,29.88,11.76
9694,2012,9,8,15.61,6.33,10.97,14.33,13.43,22.94,9.51
9695,2012,9,13,23.12,1.89,12.5,20.13,15.83,33.33,17.51
9696,2012,9,14,20.27,6.05,13.16,18.08,15.59,28.76,13.17
9697,2012,9,15,18.29,4.98,11.64,16.22,14.92,27.27,12.36
9698,2012,9,18,17.49,5.9,11.69,16.01,14.29,26.71,12.42
9699,2012,9,22,16.01,2.03,9.01,14.96,18.23,26.27,8.05
9700,2012,9,24,17.23,4.71,10.97,16.56,19.51,28.03,8.52
9701,2012,9,25,17.58,5.4,11.49,16.45,16.78,28.12,11.35
9702,2012,9,26,17.59,5.37,11.48,16.12,15.59,26.94,11.34
9703,2012,9,27,21.6,3.87,12.74,18.91,18.69,32.48,13.79
9704,2012,9,27,21.6,3.87,12.74,18.91,18.69,32.48,13.79
9705,2012,9,28,22.57,3.87,13.22,18.9,12.51,30.48,17.98
9706,2012,10,2,22.65,-1.64,10.5,20.31,17.34,32.94,15.6
9707,2012,10,7,14.44,2.37,8.41,12.86,16.71,24.92,8.21
9708,2012,10,7,14.44,2.37,8.41,12.86,16.71,24.92,8.21
9709,2012,10,8,12.16,4.44,8.3,10.8,13.19,20.79,7.6
9710,2012,10,8,12.16,4.44,8.3,10.8,13.19,20.79,7.6
9711,2012,10,8,12.16,4.44,8.3,10.8,13.19,20.79,7.6
9712,2012,10,9,12.25,4.77,8.51,11.51,15.35,22.12,6.76
9713,2012,10,12,11.29,5.83,8.56,10.19,12.28,18.62,6.35
9714,2012,10,13,14.32,10.31,12.31,13.05,10.84,20.96,10.12
9715,2012,10,13,14.32,10.31,12.31,13.05,10.84,20.96,10.12
9716,2012,10,13,14.32,10.31,12.31,13.05,10.84,20.96,10.12
9717,2012,10,13,14.32,10.31,12.31,13.05,10.84,20.96,10.12
9718,2012,10,14,15.43,11.02,13.23,13.26,11.97,22.66,10.69
9719,2012,10,15,15.22,11.97,13.59,14.08,9.35,20.87,11.52
9720,2012,10,20,9.48,5.1,7.29,9.39,11.89,15.14,3.25
9721,2012,3,7,-1.23,-14.52,-7.87,-1.25,17.15,8.75,-8.39
9722,2012,5,27,8.84,-2.17,3.34,7.51,18.09,17.94,-0.15
9723,2012,6,7,11.0,-4.77,3.12,9.89,15.24,19.66,4.42
9724,2012,6,11,18.48,-5.42,6.54,15.3,16.03,26.9,10.87
9725,2012,7,21,26.04,1.8,13.92,26.49,20.04,35.5,15.46
9726,2012,7,19,28.87,4.79,16.83,30.98,15.23,36.48,21.25
9727,2012,9,10,24.07,15.18,19.62,25.03,5.67,26.8,21.12
9728,2012,8,8,18.76,5.89,12.33,17.73,16.42,27.27,10.85
9729,2012,7,14,26.03,4.13,15.08,26.33,20.75,36.28,15.53
9730,2012,7,4,12.76,10.85,11.81,13.64,3.26,14.5,11.24
9731,2012,6,24,13.82,-2.86,5.48,15.93,19.47,23.68,4.21
9732,2012,7,3,16.66,-0.06,8.3,19.33,17.6,25.86,8.26
9733,2012,7,4,17.7,-1.05,8.33,19.85,21.29,27.57,6.28
9734,2012,7,5,23.83,4.39,14.11,24.14,17.16,32.66,15.51
9735,2012,7,14,26.03,4.13,15.08,26.33,20.75,36.28,15.53
9736,2012,8,10,30.38,0.54,15.46,30.37,21.5,41.15,19.65
9737,2012,8,11,23.19,-1.77,10.7,23.33,22.21,33.89,11.67
9738,2012,8,26,20.17,-0.67,9.75,21.59,19.68,30.61,10.93
9739,2012,8,15,26.65,5.58,16.12,28.86,14.73,34.57,19.84
9740,2012,8,20,21.78,4.56,13.17,23.44,18.41,31.33,12.92
9741,2012,8,21,20.61,-5.21,7.7,19.94,16.41,30.1,13.69
9742,2012,9,12,25.88,-3.97,10.95,24.22,20.78,35.58,14.81
9743,2012,9,5,19.64,-4.54,7.55,19.66,17.2,29.57,12.37
9744,2012,9,26,23.3,1.5,12.4,22.7,17.5,33.05,15.55
9745,2012,10,27,8.53,4.62,6.58,8.83,13.29,16.83,3.54
9746,2012,10,30,11.4,-2.63,4.39,10.53,17.91,22.23,4.31
9747,2012,10,24,3.93,3.13,3.53,3.82,4.6,6.8,2.2
9748,2012,3,10,4.75,-6.35,-0.8,4.53,17.55,15.32,-2.24
9749,2012,4,9,10.19,-1.45,4.37,10.33,18.09,19.98,1.89
9750,2012,4,22,17.57,3.96,10.76,17.4,17.12,26.62,9.51
9751,2012,5,27,11.55,1.37,6.46,14.73,16.73,19.58,2.84
9752,2012,5,25,5.79,-1.76,2.01,7.53,8.07,9.58,1.51
9753,2012,6,5,3.22,-3.32,-0.06,4.98,8.49,7.88,-0.6
9754,2012,6,2,22.72,12.52,17.62,23.35,16.97,31.87,14.9
9755,2012,6,12,17.08,5.48,11.28,19.33,16.88,25.25,8.37
9756,2012,6,19,21.35,2.05,11.69,22.05,21.55,32.47,10.91
9757,2012,6,27,21.66,3.31,12.49,21.94,20.41,31.51,11.09
9758,2012,7,6,12.82,10.92,11.87,12.94,3.86,14.74,10.88
9759,2012,1,19,3.65,3.61,3.62,3.65,1.05,4.22,3.15
9760,2012,5,10,10.64,3.08,6.87,10.23,15.44,18.7,3.26
9761,2012,5,10,10.64,3.08,6.87,10.23,15.44,18.7,3.26
9762,2012,6,13,17.98,7.26,12.62,17.94,19.4,28.23,8.83
9763,2012,6,4,8.14,6.39,7.26,8.12,7.75,11.17,3.42
9764,2012,6,7,11.75,6.55,9.15,11.37,11.34,17.67,6.32
9765,2012,6,8,8.88,1.4,5.14,8.87,14.37,16.69,2.33
9766,2012,6,14,17.76,5.24,11.5,17.66,20.88,28.39,7.51
9767,2012,6,14,17.76,5.24,11.5,17.66,20.88,28.39,7.51
9768,2012,6,28,16.49,5.35,10.92,16.05,19.23,26.38,7.15
9769,2012,7,6,20.23,2.46,11.35,18.87,21.0,30.33,9.34
9770,2012,7,12,24.09,4.97,14.53,23.38,20.03,34.76,14.73
9771,2012,7,16,18.77,6.15,12.46,18.39,17.27,27.9,10.63
9772,2012,7,16,18.77,6.15,12.46,18.39,17.27,27.9,10.63
9773,2012,7,21,22.62,6.48,14.55,22.17,21.95,33.77,11.83
9774,2012,7,23,25.11,4.28,14.69,23.25,19.78,34.82,15.04
9775,2012,7,26,21.22,5.9,13.56,20.56,17.04,30.32,13.29
9776,2012,7,25,21.82,2.99,12.4,20.51,18.36,31.33,12.97
9777,2012,8,3,25.68,-0.42,12.63,24.3,22.37,36.83,14.48
9778,2012,8,3,25.68,-0.42,12.63,24.3,22.37,36.83,14.48
9779,2012,8,19,22.49,2.62,12.55,21.78,19.65,33.01,13.36
9780,2012,8,28,16.63,2.51,9.57,16.11,18.1,27.18,9.08
9781,2012,1,11,8.9,6.04,7.48,9.3,4.36,11.17,6.81
9782,2012,10,17,14.59,-2.6,6.0,14.44,21.0,27.05,6.05
9783,2012,9,16,14.04,10.01,12.02,12.73,3.16,15.73,12.56
9784,2012,5,5,16.87,-3.47,6.7,18.27,21.69,27.79,6.1
9785,2012,6,26,20.4,2.86,11.63,22.79,18.04,29.89,11.85
9786,2012,9,1,25.92,5.94,15.93,27.16,14.04,34.05,20.01
9787,2012,9,1,24.11,2.37,13.24,24.72,16.54,33.45,16.91
9788,2012,5,17,19.71,5.96,12.83,20.96,21.19,30.87,9.68
9789,2012,6,7,20.12,7.76,13.94,21.27,11.24,25.87,14.62
9790,2012,7,4,16.52,11.14,13.83,19.46,6.95,19.95,13.0
9791,2012,7,5,15.99,11.38,13.69,19.23,6.52,19.72,13.19
9792,2012,7,24,17.73,11.98,14.85,20.54,7.64,21.87,14.22
9793,2012,9,5,23.63,13.44,18.53,23.99,8.06,28.77,20.72
9794,2012,9,9,24.69,15.05,19.87,25.31,8.12,29.42,21.3
9795,2012,9,15,28.21,10.59,19.4,26.4,7.99,32.7,24.72
9796,2012,10,2,27.03,8.89,17.96,25.47,9.62,32.7,23.08
9797,2012,10,4,18.4,14.23,16.32,20.3,5.79,22.0,16.21
9798,2012,10,5,20.79,12.97,16.87,21.73,10.2,26.61,16.41
9799,2012,10,15,24.48,8.59,16.54,23.34,9.9,30.77,20.87
9800,2012,10,19,20.83,16.76,18.79,21.76,9.73,26.73,17.01
9801,2012,10,20,18.55,15.51,17.03,20.23,5.8,22.07,16.26
9802,2012,10,3,22.09,13.59,17.84,22.58,8.75,26.71,17.95
9803,2012,11,4,22.51,3.29,12.9,20.55,11.84,29.3,17.45
9804,2012,11,6,20.58,10.53,15.55,19.98,10.16,26.36,16.2
9805,2012,5,19,19.44,-0.17,9.63,19.46,20.11,28.94,8.83
9806,2012,6,11,23.19,-7.51,7.84,22.73,19.0,32.44,13.44
9807,2012,6,22,18.22,1.26,9.73,19.58,15.81,25.68,9.87
9808,2012,6,30,19.94,4.9,12.42,20.98,16.42,27.73,11.31
9809,2012,7,7,25.96,-0.04,12.96,26.08,17.64,35.16,17.51
9810,2012,7,16,22.6,1.54,12.07,23.09,16.67,30.59,13.92
9811,2012,7,24,24.37,0.13,12.25,24.39,14.27,31.99,17.72
9812,2012,8,6,25.84,3.3,14.57,26.58,17.42,34.71,17.29
9813,2012,8,28,24.62,-5.46,9.58,23.96,19.02,34.1,15.09
9814,2012,8,28,24.62,-5.46,9.58,23.96,19.02,34.1,15.09
9815,2012,9,20,24.27,1.37,12.83,23.43,15.95,32.89,16.94
9816,2012,10,8,14.66,2.87,8.77,14.24,11.42,20.98,9.55
9817,2012,2,24,4.8,-3.89,0.45,4.35,19.0,15.97,-3.03
9818,2012,5,15,10.99,-0.55,5.23,8.9,19.73,20.27,0.54
9819,2012,6,9,17.6,-3.37,7.12,17.67,18.1,25.91,7.81
9820,2012,6,19,13.08,-7.67,2.71,12.83,19.05,21.88,2.83
9821,2012,7,13,18.93,5.24,12.08,17.74,15.35,25.92,10.58
9822,2012,7,16,13.99,-0.54,6.73,13.08,16.59,21.73,5.14
9823,2012,7,20,17.73,1.35,9.54,16.19,15.97,26.25,10.28
9824,2012,7,31,23.58,-4.35,9.62,20.91,14.8,31.74,16.94
9825,2012,8,11,23.53,2.94,13.23,22.0,16.01,31.42,15.4
9826,2012,8,11,20.06,3.22,11.64,19.58,15.64,28.06,12.41
9827,2012,8,28,17.94,-9.99,3.97,13.88,15.02,26.09,11.07
9828,2012,8,31,14.96,-2.63,6.16,13.58,15.41,22.62,7.21
9829,2012,9,7,16.73,4.06,10.39,17.06,14.5,24.46,9.96
9830,2012,9,13,17.84,-6.14,5.85,15.94,18.78,27.85,9.07
9831,2012,10,1,16.82,-6.21,5.3,16.48,18.31,27.5,9.19
9832,2012,10,15,12.42,-6.7,2.86,8.67,14.81,22.01,7.2
9833,2012,4,20,21.72,15.11,18.41,20.35,15.78,29.06,13.28
9834,2012,5,15,19.81,7.61,13.71,21.5,19.69,30.03,10.34
9835,2012,5,23,16.57,5.02,10.8,17.85,16.96,25.3,8.33
9836,2012,6,12,26.3,3.75,15.03,28.54,22.73,38.27,15.54
9837,2012,6,15,27.99,6.3,17.14,29.03,19.19,37.59,18.4
9838,2012,7,16,24.19,8.7,16.44,26.42,16.92,33.48,16.56
9839,2012,8,11,30.37,4.68,17.52,32.95,25.94,44.87,18.93
9840,2012,7,4,18.44,10.48,14.46,21.74,12.92,25.55,12.62
9841,2012,6,22,24.94,4.72,14.83,27.52,17.82,34.15,16.33
9842,2012,7,22,32.87,6.4,19.63,33.86,20.8,42.65,21.85
9843,2012,7,26,21.73,6.54,14.14,24.55,22.49,34.65,12.16
9844,2012,6,7,18.84,7.35,13.1,21.29,15.44,27.33,11.9
9845,2012,7,25,20.35,10.15,15.25,23.26,13.47,27.92,14.44
9846,2012,8,19,23.34,6.22,14.78,25.43,21.36,35.65,14.3
9847,2012,8,19,23.34,6.22,14.78,25.43,21.36,35.65,14.3
9848,2012,6,1,26.14,2.04,14.08,27.46,20.53,37.95,17.43
9849,2012,6,24,17.89,10.72,14.3,20.34,12.26,25.02,12.76
9850,2012,4,9,15.72,5.12,10.42,15.43,14.18,24.18,10.0
9851,2012,4,22,16.12,10.12,13.12,18.1,12.29,23.83,11.54
9852,2012,8,9,30.21,-7.21,11.5,30.61,19.8,40.11,20.31
9853,2012,8,26,22.15,6.39,14.26,24.58,20.83,34.14,13.31
9854,2012,4,25,17.62,10.5,14.06,18.26,12.61,25.56,12.95
9855,2012,5,15,15.47,8.19,11.83,17.23,11.84,21.55,9.71
9856,2012,3,21,15.65,4.26,9.96,15.05,14.05,23.54,9.48
9857,2012,10,3,23.98,10.08,17.02,24.24,11.22,30.4,19.17
9858,2012,10,12,15.62,10.69,13.15,17.07,6.88,19.83,12.95
9859,2012,7,8,23.12,7.01,15.07,24.77,14.21,30.3,16.08
9860,2012,7,22,26.24,13.57,19.9,29.13,14.82,34.25,19.43
9861,2012,1,1,10.64,-6.19,2.23,9.26,15.07,20.49,5.42
9862,2012,1,1,10.64,-6.19,2.23,9.26,15.07,20.49,5.42
9863,2012,3,5,3.43,-5.17,-0.87,2.76,12.35,11.09,-1.26
9864,2012,1,2,9.82,-3.32,3.25,8.4,10.94,16.78,5.84
9865,2012,1,5,11.76,-0.75,5.5,8.04,11.38,18.58,7.21
9866,2012,1,11,11.03,-3.06,3.98,8.19,13.32,19.07,5.75
9867,2012,1,8,8.71,-10.34,-0.81,7.92,14.41,18.25,3.84
9868,2012,1,8,8.71,-10.34,-0.81,7.92,14.41,18.25,3.84
9869,2012,1,15,7.12,1.14,4.13,6.95,13.51,14.77,1.26
9870,2012,1,15,7.12,1.14,4.13,6.95,13.51,14.77,1.26
9871,2012,1,15,7.12,1.14,4.13,6.95,13.51,14.77,1.26
9872,2012,1,15,7.12,1.14,4.13,6.95,13.51,14.77,1.26
9873,2012,1,16,3.23,-6.24,-1.51,2.05,12.69,10.35,-2.34
9874,2012,1,17,3.99,-7.2,-1.6,2.23,12.54,10.88,-1.66
9875,2012,1,10,8.08,-5.6,1.24,6.5,12.62,16.12,3.51
9876,2012,1,19,7.22,3.01,5.12,6.23,7.38,11.21,3.83
9877,2012,1,19,7.22,3.01,5.12,6.23,7.38,11.21,3.83
9878,2012,1,12,5.85,-9.95,-2.06,5.35,13.85,14.94,1.08
9879,2012,1,14,9.53,-10.78,-0.63,5.67,14.28,18.01,3.73
9880,2012,1,15,4.66,-5.1,-0.22,4.23,12.07,11.03,-1.04
9881,2012,1,15,2.55,-5.61,-1.52,2.48,9.9,7.62,-2.27
9882,2012,1,16,-0.36,-8.61,-4.49,-1.17,9.01,5.37,-3.64
9883,2012,1,18,6.58,-3.75,1.42,5.15,12.08,13.01,0.93
9884,2012,2,3,8.95,-1.97,3.49,8.05,14.62,17.44,2.81
9885,2012,1,19,4.52,-6.43,-0.95,3.51,8.85,10.01,1.16
9886,2012,2,7,11.01,6.42,8.72,10.33,5.35,14.19,8.84
9887,2012,2,9,14.07,5.44,9.76,12.56,13.26,21.39,8.13
9888,2012,2,12,9.07,6.59,7.83,9.3,8.66,14.7,6.04
9889,2012,1,29,12.73,-0.58,6.08,9.51,10.86,19.22,8.35
9890,2012,2,21,12.05,6.11,9.08,11.26,17.24,21.37,4.13
9891,2012,1,31,9.65,4.4,7.03,7.93,10.95,15.9,4.94
9892,2012,2,26,6.68,-2.58,2.05,6.69,12.74,12.88,0.14
9893,2012,2,4,11.15,-1.52,4.81,9.51,14.74,19.49,4.76
9894,2012,2,4,3.44,-5.02,-0.79,2.79,11.57,10.73,-0.84
9895,2012,2,5,6.55,-2.68,1.93,5.4,13.31,14.3,0.99
9896,2012,3,24,8.28,5.77,7.02,8.23,4.16,10.54,6.37
9897,2012,2,22,11.16,2.04,6.6,10.37,14.02,19.02,5.0
9898,2012,2,23,10.81,-0.42,5.19,9.9,15.05,19.75,4.69
9899,2012,2,27,6.73,1.26,4.0,6.94,10.09,11.91,1.83
9900,2012,3,7,3.71,-8.16,-2.23,3.56,17.59,13.27,-4.31
9901,2012,3,12,3.7,0.75,2.23,3.76,9.3,8.48,-0.81
9902,2012,4,1,4.41,0.86,2.64,4.62,8.37,9.53,1.16
9903,2012,4,5,7.36,0.87,4.12,7.52,12.3,13.26,0.96
9904,2012,4,7,8.22,-0.43,3.9,7.31,16.15,16.2,0.05
9905,2012,4,9,13.65,7.48,10.56,13.41,16.1,22.26,6.15
9906,2012,4,23,16.09,10.91,13.51,15.31,10.37,21.5,11.13
9907,2012,5,3,9.66,5.37,7.51,10.12,10.48,14.75,4.27
9908,2012,5,9,18.57,5.94,12.26,17.03,14.96,25.79,10.83
9909,2012,5,9,18.57,5.94,12.26,17.03,14.96,25.79,10.83
9910,2012,5,9,20.72,8.73,14.73,21.34,19.17,31.57,12.4
9911,2012,5,17,16.85,8.37,12.61,18.42,16.08,26.76,10.68
9912,2012,5,17,18.05,8.91,13.48,19.28,14.91,27.39,12.48
9913,2012,5,17,14.88,4.78,9.83,14.94,13.52,22.31,8.8
9914,2012,5,17,14.88,4.78,9.83,14.94,13.52,22.31,8.8
9915,2012,5,17,12.75,4.87,8.81,12.61,11.16,18.99,7.83
9916,2012,5,18,15.52,4.58,10.05,15.05,15.14,23.03,7.89
9917,2012,5,18,19.41,6.67,13.05,20.19,17.27,28.64,11.37
9918,2012,5,18,19.41,6.67,13.05,20.19,17.27,28.64,11.37
9919,2012,5,19,17.62,4.94,11.28,16.58,15.23,24.83,9.61
9920,2012,5,20,20.39,6.47,13.43,19.45,17.85,28.44,10.59
9921,2012,5,20,20.39,6.47,13.43,19.45,17.85,28.44,10.59
9922,2012,5,22,13.03,6.01,9.52,12.75,12.47,19.53,7.06
9923,2012,5,25,7.62,2.17,4.9,8.18,7.45,11.66,4.21
9924,2012,5,27,12.13,4.02,8.08,12.15,15.4,19.55,4.15
9925,2012,5,28,13.51,3.31,8.4,13.21,15.52,21.09,5.57
9926,2012,5,28,10.8,3.17,6.99,9.68,14.03,17.48,3.45
9927,2012,5,28,16.48,6.33,11.41,18.07,16.51,25.39,8.88
9928,2012,5,29,13.76,4.44,9.1,11.99,15.8,20.94,5.15
9929,2012,5,29,15.39,4.83,10.11,15.25,17.11,23.51,6.4
9930,2012,6,1,25.44,11.49,18.46,26.94,22.43,37.58,15.16
9931,2012,6,3,22.56,9.43,15.99,23.9,18.91,32.6,13.69
9932,2012,6,6,15.26,0.96,8.11,15.44,16.05,23.19,7.13
9933,2012,6,6,19.16,3.76,11.47,20.55,17.69,27.92,10.23
9934,2012,6,6,15.26,0.96,8.11,15.44,16.05,23.19,7.13
9935,2012,6,7,20.4,8.02,14.21,22.27,21.1,31.01,9.9
9936,2012,6,7,17.22,3.8,10.51,17.08,16.38,25.39,9.0
9937,2012,6,8,16.27,3.02,9.65,16.19,14.61,23.89,9.29
9938,2012,6,8,16.27,3.02,9.65,16.19,14.61,23.89,9.29
9939,2012,6,11,26.69,2.66,14.67,27.19,18.92,36.62,17.69
9940,2012,6,11,25.62,1.9,13.76,26.01,19.9,34.94,15.05
9941,2012,6,12,22.48,3.43,12.96,21.58,16.3,30.61,14.31
9942,2012,6,12,22.48,3.43,12.96,21.58,16.3,30.61,14.31
9943,2012,6,13,24.19,9.73,16.96,26.2,22.28,36.12,13.84
9944,2012,6,14,22.0,7.54,14.77,21.95,16.05,30.02,13.97
9945,2012,6,16,30.83,7.93,19.37,31.54,24.32,42.8,18.48
9946,2012,6,16,25.16,4.41,14.79,24.48,17.14,34.52,17.38
9947,2012,6,20,23.7,0.49,12.1,23.8,18.68,32.92,14.24
9948,2012,6,21,19.15,7.58,13.37,21.19,14.55,26.65,12.11
9949,2012,6,23,17.9,6.18,12.04,20.35,13.8,25.65,11.84
9950,2012,6,24,11.48,0.71,6.09,11.58,16.98,19.88,2.91
9951,2012,6,24,11.48,0.71,6.09,11.58,16.98,19.88,2.91
9952,2012,6,24,17.08,3.33,10.21,18.69,17.84,26.02,8.19
