,County,Population,PopulationDensity,HousingUnits,HousingOccupied,HomeValue,Income,AreaCode,WaterArea
73,Fresno County,19162.0,123.0,5642.0,5270.0,171100.0,48115.0,559,1.12
74,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
75,Fresno County,1114.0,10.0,302.0,263.0,126400.0,30523.0,559,0.34
76,Fresno County,6987.0,87.0,1693.0,1601.0,120400.0,23238.0,559,0.0
77,Fresno County,6987.0,87.0,1693.0,1601.0,120400.0,23238.0,559,0.0
78,Fresno County,6987.0,87.0,1693.0,1601.0,120400.0,23238.0,559,0.0
79,Fresno County,9941.0,1312.0,3869.0,3629.0,366500.0,118396.0,559,0.67
80,Fresno County,6313.0,57.0,1840.0,1714.0,158300.0,43864.0,559,0.01
81,Fresno County,15719.0,685.0,3875.0,3644.0,112800.0,35499.0,559,0.0
82,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
83,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
84,Fresno County,415.0,201.0,111.0,102.0,153100.0,28750.0,559,0.0
85,Fresno County,1359.0,14.0,613.0,536.0,415000.0,32560.0,559,6.08
86,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
87,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
88,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
89,Fresno County,15719.0,685.0,3875.0,3644.0,112800.0,35499.0,559,0.0
90,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
91,Fresno County,5640.0,92.0,1584.0,1466.0,233000.0,47361.0,559,0.0
92,Fresno County,15719.0,685.0,3875.0,3644.0,112800.0,35499.0,559,0.0
93,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
94,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
95,Fresno County,30237.0,384.0,8979.0,8385.0,175200.0,43790.0,559,0.21
